code,name,regions_count,users_count,wines_count,wineries_count
it,Italie,563,4270717,274658,42399
fr,France,1306,5973301,422503,67553
us,États-Unis,362,12273684,204060,28145
es,Espagne,152,2264396,102662,18026
pt,Portugal,93,1123535,39847,5834
au,Australie,120,1022965,90954,13946
hu,Hongrie,29,102235,16605,1923
za,Afrique du Sud,112,269649,30857,4227
de,Allemagne,236,2549989,164533,13643
cl,Chili,41,326757,41191,5785
md,Moldavie,9,13583,5055,418
ar,Argentine,41,629532,36121,5339
gr,Grèce,140,95693,9581,1294
il,Israël,20,150549,5435,529
ro,Roumanie,27,228185,6841,686
hr,Croatie,22,64223,5880,980
ch,Suisse,73,1601799,33656,3849
