id,country_code,grape_id,wines_count
1,it,16,125094
2,it,5,604208
3,it,10,566719
4,fr,14,572334
5,fr,5,604208
6,fr,10,566719
7,us,2,801751
8,us,14,572334
9,us,5,604208
10,es,19,172842
11,es,142,58111
12,es,2,801751
13,pt,67,85787
14,pt,69,41047
15,pt,68,33763
16,au,1,551112
17,au,2,801751
18,au,5,604208
19,hu,394,11130
20,hu,2,801751
21,hu,10,566719
22,za,2,801751
23,za,1,551112
24,za,10,566719
25,de,15,262136
26,de,299,50164
27,de,355,33464
28,cl,2,801751
29,cl,51,50087
30,cl,10,566719
31,md,2,801751
32,md,10,566719
33,md,5,604208
34,ar,9,219735
35,ar,2,801751
36,ar,5,604208
37,gr,216,3476
38,gr,10,566719
39,gr,2,801751
40,il,2,801751
41,il,10,566719
42,il,1,551112
43,ro,10,566719
44,ro,2,801751
45,ro,326,6117
46,hr,632,4122
47,hr,2,801751
48,hr,10,566719
49,ch,14,572334
50,ch,224,13154
51,ch,10,566719
